Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  R[12]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q12ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m    Q12m
500.045 2.15536 242.627 196.388 1.02312 0.984412 0.2 0.6 0.9 1.3 1.7 2 2.6 3.1 3.5 4.4 4.5 5.2 7.2 0.115162 0.0776398 0.184169 0.267488 0.132292 0.104275 0.0328581 0.0691589 0.0178184 1.43996e-12 4.7678e-12 0.00823247 0.0140265 0.096067 0.149963 0.182888 0.189916 0.113455 0.133247 0.0616525 0.0489102 0.00753607 8.65855e-10 0.000776055 5.87028e-10 0
511.144 2.20321 248.313 202.074 1.01386 0.993761 0.2 0.6 1 1.4 1.5 2 2.2 3 3.5 4.5 4.5 5.2 5.8 0.113904 0.0935338 0.265557 0.0237388 0.26004 0.106391 0.0335579 0.0790432 0.0281091 5.27356e-15 5.27356e-15 0.00998358 2.88658e-14 0.0914885 0.183151 0.217206 1.66382e-11 0.236353 0.0697206 0.105888 0.0745454 0.0111289 0.00404339 1.87772e-07 0.000236212 0
438.67 1.89082 208.711 162.472 1.00827 1.00286 0.2 0.5 0.7 1.2 1.5 1.9 2.4 3 3.5 4.3 4.4 4.4 5.8 0.0569647 0.0436232 0.249714 0.21851 0.138486 0.126338 0.0997847 0.0443688 0.0223349 0.00675627 0.00139416 1.88129e-07 1.58505e-10 0.0908072 0.0463609 0.210193 0.2374 0.0810979 0.170063 0.0726941 0.0578671 0.0169116 0.00938754 0.0100716 5.17914e-07 0
442.168 1.9059 210.768 164.529 1.00871 0.970966 0.1 0.6 1 1.3 1.4 1.9 2.5 3.2 3.7 3.9 4.4 4.3 5.5 0.0400774 0.247583 0.151094 0.0971329 0.151581 0.160308 0.10077 0.0430767 0.00914432 1.62136e-11 0.00517485 0.00276649 1.22239e-10 0.076067 0.208929 0.144524 0.146883 0.0971659 0.146818 0.107665 0.0237668 0.00296836 0.016179 4.83424e-11 4.67881e-11 0
442.591 1.90772 211.016 164.777 1.00855 1.01299 -0.0999 0.6 0.9 1.3 1.7 2 2.6 3.2 3.6 4.2 4.4 5.3 6 0.0406064 0.237659 0.108474 0.277131 0.0671628 0.137864 0.0869067 0.0278117 0.0175897 3.19356e-13 0.0073498 1.11022e-16 1.60982e-15 0.0669731 0.232087 0.0854058 0.274898 0.0376755 0.172018 0.0663209 0.0549135 5.82867e-15 0.0227017 4.71012e-13 9.4369e-16 0
537.879 2.31845 261.518 215.279 1.01333 1.14158 0.1 0.4 0.9 1.4 1.9 2.2 2.8 3.3 3.5 4.3 5.2 6.2 6.2 0.0649162 0.0976045 0.249652 0.304963 0.134307 0.0403856 0.0478266 0.0634687 6.32827e-14 0 0.0102102 5.55112e-17 1.27121e-14 0.0418763 0.143124 0.288267 0.198109 0.179959 0.0551547 0.0926591 0.0300465 0.0320585 0.0408723 0.031325 0.00813025 0
4007.54 17.2739 781.667 735.428 1.02194 2.42761 0.3 0.5 0.8 1 1.4 1.7 2.2 2.6 3.3 3.8 4.5 4.9 6.1 0.0853683 0.0862306 0.134189 0.184722 0.145021 0.155208 0.0742402 0.0733392 0.0530999 7.43849e-13 1.0808e-13 1.47438e-13 0.0305204 0.0800855 0.0344346 0.0214191 0.328004 0.186909 0.394445 0.196424 0.0353626 0.123291 0.441031 0.460979 0.125221 0
436.661 1.88216 207.522 161.283 1.00859 1.00513 0.1 0.6 1 1.3 1.5 2 2.6 3.3 3.8 4.3 4.4 5.2 5.7 0.0401423 0.246986 0.152868 0.14082 0.139086 0.14933 0.0875867 0.0390091 0.00431154 0.00461122 0.00383929 7.97512e-12 1.1613e-11 0.0762971 0.208533 0.148388 0.166293 0.105573 0.142909 0.103105 0.0181586 0.026318 0.00584992 5.19018e-12 0.00370189 0
438.523 1.89019 208.624 162.386 1.00857 0.995314 0.2 0.6 0.9 1.3 1.7 2 2.5 3.1 3.5 4.1 4.4 5.1 5.6 0.0555117 0.200842 0.14716 0.243259 0.108106 0.0983548 0.0922421 0.0339296 0.0202177 0.00207444 0.00687238 0 2.07057e-13 0.0912759 0.173073 0.143871 0.227859 0.0843522 0.131993 0.0664613 0.0546058 0.00198221 0.0167397 0.00310121 1.94289e-15 0
438.013 1.88799 208.323 162.084 1.00791 1.08424 0.2 0.5 0.7 1.1 1.2 1.7 2.3 2.8 3.3 4 4.2 5 4.9 0.0539549 0.0611143 0.224692 4.98673e-09 0.266927 0.195832 0.116813 0.0406783 0.0366441 1.35095e-09 0.0112568 1.70974e-14 1.40396e-10 0.0951308 0.0808652 0.118729 0.172536 0.136439 0.185975 0.129813 0.0597043 0.0347917 0.0520186 1.15574e-13 0.0182418 0
441.959 1.90499 210.645 164.407 1.00872 0.973837 0.1 0.6 1 1.2 1.4 1.9 2.5 3.2 3.8 4.4 3.9 5.2 5.4 0.0399977 0.248752 0.136905 0.0703104 0.192705 0.158891 0.100858 0.0443175 0.00892525 0.00705919 2.87498e-12 3.33067e-16 8.27061e-13 0.0759331 0.210661 0.123634 0.105485 0.160023 0.144781 0.108583 0.0247139 0.00382159 8.34832e-13 0.0160013 0.000201877 0
