rChi^2    R[1]     R[2]    R[3]    R[4]    R[5]    R[6]    R[7]    R[8]    R[9]    R[10]    R[11]   Q0   Q1   Q2   Q3   Q4   Q5   Q6   Q7   Q8   Q9   Q10   Q11   
9.1212 0.734583 1.23111 1.83346 2.37506 2.48272 3.47782 3.90528 4.53969 5.49712 6.16227 6.95903 7.92729 510.185 223.842 -219.109 -589.547 -641.894 -287.172 468.596 1727.03 -127.797 -3010.17 2516.71 -559.149
9.71538 0.910722 1.69723 1.82661 2.58044 3.22936 3.47489 3.86164 4.58595 5.23789 5.83903 6.2914 7.14386 1845.1 -516.267 -916.028 -2367.44 -975.36 354.589 2896.59 4416.19 -4184.73 -7788.37 8766.88 -1519.53
9.10543 0.353091 1.26919 1.77372 2.64337 3.52025 3.63469 4.59171 5.05235 5.62366 5.98713 6.96207 7.95803 465.005 33.903 -298.396 -744.613 -248.649 -74.8296 1638.81 1420.67 -1032.26 -2824.02 2186.21 -510.314
8.86667 0.880606 1.37731 2.11154 2.70188 3.56716 3.85697 4.75811 5.28679 6.28283 6.61909 7.10833 8.09621 342.236 110.617 -308.605 -554.075 -246.848 104.312 1217.71 580.63 -2343.77 -1162.54 2818.42 -546.619
8.76269 0.713551 1.41309 2.12395 3.1078 3.95913 3.96531 4.92374 5.29081 5.85688 6.43573 7.34966 8.16772 292.646 39.265 -302.834 -552.749 36.4018 43.9233 1058.2 779.696 -829.819 -1900.84 1936.07 -588.489
9.52163 0.813486 1.72802 2.50256 3.38409 3.58385 4.25118 4.55104 4.77169 5.36454 6.33362 6.812 7.17948 1133.27 -543.618 -1727.08 -698.807 -2.93593 2301.05 2271.84 1334.03 -5239.92 -2482.85 7273.79 -3607.19
8.53592 0.814038 1.71803 2.37669 3.21608 3.733 4.61736 5.4845 5.65914 6.50504 6.91377 7.52889 8.38806 235.76 -17.5625 -239.909 -332.962 -116.203 696.408 477.536 117.605 -1408.17 -685.354 1777.74 -493.46
8.93191 0.573666 0.920122 1.63172 2.56941 3.48799 3.90483 4.87545 5.8211 6.0653 7.00966 7.23304 8.11471 304.005 172.414 -200.354 -691.013 -368.456 282.168 1990.5 -691.133 -1878.21 -67.6638 1652.25 -493.018
9.72396 0.845253 0.978696 1.03216 1.90551 2.40115 3.37495 4.2444 5.24417 6.13195 6.39627 6.59616 6.96645 915.419 619.844 495.699 -1692.82 -2408 297.111 5467.55 -4538.02 -5774.52 3000.76 7973.73 -4345.14
9.50095 0.584074 1.13683 2.02767 2.96113 3.86846 4.28798 4.31062 5.29939 5.91688 6.18488 6.87602 7.18583 843.554 174.723 -1201.63 -1667.08 557.504 1785.65 1829.15 -1358.74 -3299.99 -564.049 7052.5 -4140.01
9.40035 0.671072 1.37162 1.98483 2.34436 3.26958 4.04054 4.97631 5.38381 5.54721 6.31777 6.82111 7.4146 916.345 96.906 -751.97 -1133.93 -595.57 2064.33 2465.84 -886.21 -2582.88 -3183.39 5338.7 -1736.59
9.51117 0.741695 1.723 2.55691 3.34533 3.55206 4.09898 4.65777 5.37924 5.44084 5.78859 6.60945 7.36649 1018.1 -491.651 -1595.5 -798.042 -139.476 2122.43 3382.42 -905.12 -1526.42 -4362.61 4579.2 -1271.74
8.96633 0.435432 1.35047 2.25691 2.72664 3.39198 4.00396 4.68347 5.32988 6.14655 7.14188 7.58496 7.86397 365.067 39.8042 -390.215 -512.681 -297.726 419.01 1214.29 405.579 -2512.86 1141.41 1688 -1548.18
8.67959 0.901205 1.69184 2.64699 3.41721 4.2881 4.64213 5.3945 6.27073 7.05233 7.43822 7.56221 8.18837 282.731 -19.298 -443.245 -462.665 298.349 712.573 636.206 -1672.35 -696.625 860.496 1257.11 -741.827
9.16619 0.960177 1.49126 2.39258 2.92942 3.61426 4.37989 4.45623 4.88442 5.86986 6.45835 6.99433 7.67095 512.274 107.351 -659.295 -852.27 -349.114 959.321 1055.52 1074.04 -2806.61 -1549.74 3686.74 -1166.68
9.51554 0.969787 1.93626 2.37458 3.27388 3.3774 4.182 4.67833 4.92896 5.72887 5.84447 6.54458 7.23959 1103.76 -546.527 -1180.01 -806.953 -557.619 2094.9 2362.45 1330.74 -4446.61 -4390.7 6911.14 -1862.97
9.49533 0.913017 1.60618 2.40763 3.31385 3.84502 4.32494 4.52325 5.28784 5.53101 6.10107 6.59956 7.34825 1048.85 -193.652 -1645.53 -1338.62 451.599 2255.63 2629.17 -792.752 -3088.64 -3672 5773.47 -1415.94
9.7998 0.786417 1.74112 2.69758 3.53304 4.19895 4.63789 5.47695 5.50923 5.62072 5.64253 6.26026 6.87872 1649.3 -1180.81 -2907.48 59.312 4028.52 4057.07 -3430.44 -3534.52 -3470.98 -3372.35 11259.7 -3145.69
